Stony Lake (Mich.),http://id.loc.gov/authorities/names/n2011040436
Baraga County (Mich.),http://id.loc.gov/authorities/names/n81091922
Leelanau County (Mich.)--Maps.,http://id.loc.gov/authorities/names/n81007348
Homer (Mich.),http://id.loc.gov/authorities/names/nr93039982
"Ypsilanti (Mich.)--Buildings, structures, etc.",http://id.loc.gov/authorities/names/n80006284
Marine City (Mich.)--Churches.,http://id.loc.gov/authorities/names/n85081920
Rogers City (Mich.),http://id.loc.gov/authorities/names/n82062805
Mundy (Mich.),http://id.loc.gov/authorities/names/n88276972
Hell (Mich.),http://id.loc.gov/authorities/names/n88080894
Holly (Mich.)--Churches.,http://id.loc.gov/authorities/names/n92069775
Winona (Mich.),http://id.loc.gov/authorities/names/n93108075
Hillsdale County (Mich.)--Commerce.,http://id.loc.gov/authorities/names/n80060427
Hazel Park (Mich.),http://id.loc.gov/authorities/names/n85155126
"Ann Arbor (Mich.)--Societies, etc.",http://id.loc.gov/authorities/names/n79022219
Standish (Mich.)--Churches.,http://id.loc.gov/authorities/names/n85155120
Troy (Mich.)--Charters.,http://id.loc.gov/authorities/names/n79078639
Hazel Park (Mich.)--History.,http://id.loc.gov/authorities/names/n85155126
Luther (Mich.)--Dwellings.,http://id.loc.gov/authorities/names/n85188937
Otsego County (Mich.),http://id.loc.gov/authorities/names/n81091877
Ironwood (Mich.)--Business enterprises.,http://id.loc.gov/authorities/names/n85064191
Livonia (Mich.),http://id.loc.gov/authorities/names/n82268584
Berkley (Mich.)--Churches.,http://id.loc.gov/authorities/names/n85149708
De Tour Village (Mich.),http://id.loc.gov/authorities/names/n00038346
Ann Arbor (Mich.)--Cemeteries.,http://id.loc.gov/authorities/names/n79022219
Benton Harbor (Mich.)--Churches.,http://id.loc.gov/authorities/names/n81129560
Laurium (Mich.),http://id.loc.gov/authorities/names/n85161600
White Pigeon (Mich.)--Dwellings.,http://id.loc.gov/authorities/names/n98007641
Whitefish Point (Mich.),http://id.loc.gov/authorities/names/n96092917
University of Michigan--Students--Social life and customs.,http://id.loc.gov/authorities/names/n79021846
Walnut Grove (Calif.),http://id.loc.gov/authorities/names/n87910280
Constantine (Mich.),http://id.loc.gov/authorities/names/n85064127
Ann Arbor (Mich. : Township)--Genealogy.,http://id.loc.gov/authorities/names/n95065924
Ashfield (Mass.),http://id.loc.gov/authorities/names/n80139203
Ontonagon County (Mich.),http://id.loc.gov/authorities/names/n81144381
Hazel Park (Mich.)--Charters.,http://id.loc.gov/authorities/names/n85155126
Grand Marais (Mich.),http://id.loc.gov/authorities/names/n82047102
Framingham (Mass.),http://id.loc.gov/authorities/names/n80139920
Almont (Mich.)--Dwellings.,http://id.loc.gov/authorities/names/n85149617
Royal Oak (Mich.),http://id.loc.gov/authorities/names/n50069670
Macomb County (Mich.),http://id.loc.gov/authorities/names/n81091933
Budapest (Hungary),http://id.loc.gov/authorities/names/n79091691
Mackinac Island (Mich.)--Buildings.,http://id.loc.gov/authorities/names/n81139923
Union City (Mich.)--Dwellings.,http://id.loc.gov/authorities/names/n81144379
Harbor Beach (Mich.),http://id.loc.gov/authorities/names/n85115336
Alpena County (Mich.)--Maps.,http://id.loc.gov/authorities/names/n83030499
Capac (Mich.)--Churches.,http://id.loc.gov/authorities/names/n85081792
Hillsdale County (Mich.)--Maps.,http://id.loc.gov/authorities/names/n80060427
"Milan (Mich.)--Buildings, structures, etc.",http://id.loc.gov/authorities/names/n82066430
White Lake (S.D.),http://id.loc.gov/authorities/names/no2012068844
Dimondale (Mich.),http://id.loc.gov/authorities/names/n94065221
Chelsea (Mich.),http://id.loc.gov/authorities/names/n85064194
Birmingham (Mich.),http://id.loc.gov/authorities/names/n81104604
Willow Run (Mich.)--Dwellings.,http://id.loc.gov/authorities/names/n00086557
White Cloud (Mich.),http://id.loc.gov/authorities/names/n86043531
Boyne Falls (Mich.),http://id.loc.gov/authorities/names/n81086464
Kalkaska County (Mich.)--Maps.,http://id.loc.gov/authorities/names/n81091870
Newaygo County (Mich.)--Maps.,http://id.loc.gov/authorities/names/n81006519
Troy (Mich.)--Cemeteries.,http://id.loc.gov/authorities/names/n79078639
Mount Clemens (Mich.)--Politics and government.,http://id.loc.gov/authorities/names/n80060314
Indianapolis (Ind.),http://id.loc.gov/authorities/names/n79055094
Ann Arbor (Mich.)--Markets.,http://id.loc.gov/authorities/names/n79022219
Ann Arbor (Mich.)--Lodging houses.,http://id.loc.gov/authorities/names/n79022219
Farmington Hills (Mich.),http://id.loc.gov/authorities/names/n82062794
Mackinac Island (Mich.)--1908.,http://id.loc.gov/authorities/names/n81139923
Grayling (Mich.),http://id.loc.gov/authorities/names/n81131971
Willow Run (Mich.)--Buildings.,http://id.loc.gov/authorities/names/n00086557
Ann Arbor (Mich.)--Genealogy.,http://id.loc.gov/authorities/names/n79022219
Owosso (Mich.),http://id.loc.gov/authorities/names/n85081790
Southfield (Mich.)--Churches.,http://id.loc.gov/authorities/names/n79088997
Mears (Mich.),http://id.loc.gov/authorities/names/no2010149865
Dearborn Heights (Mich.),http://id.loc.gov/authorities/names/n81018642
Ann Arbor (Mich.)--Courthouses.,http://id.loc.gov/authorities/names/n79022219
University of Michigan--Buildings.,http://id.loc.gov/authorities/names/n79021846
Durand (Mich.),http://id.loc.gov/authorities/names/n82068151
East Lansing (Mich.),http://id.loc.gov/authorities/names/n79129544
Eastlake (Mich.)--Salt industry.,http://id.loc.gov/authorities/names/n2003122107
Fennville (Mich.)--Dwellings.,http://id.loc.gov/authorities/names/n85204372
Stockbridge (Mich.),http://id.loc.gov/authorities/names/n88026008
Flint (Mich.)--Aerial photographs.,http://id.loc.gov/authorities/names/n82166396
"Corktown (Detroit, Mich.)",http://id.loc.gov/authorities/names/n2008001022
Monroe County (Mich.),http://id.loc.gov/authorities/names/n81120287
Mesick (Mich.),http://id.loc.gov/authorities/names/n85189406
Wyoming (Mich.)--Churches.,http://id.loc.gov/authorities/names/n85149947
Chesaning (Mich.)--Churches.,http://id.loc.gov/authorities/names/n82062703
Ann Arbor (Mich.)--Schools.,http://id.loc.gov/authorities/names/n79022219
Scottville (Mich.)--Charters.,http://id.loc.gov/authorities/names/n85081929
Saugatuck (Mich.)--Buildings.,http://id.loc.gov/authorities/names/n82084368
Oak Park (Mich.),http://id.loc.gov/authorities/names/n85081934
Mount Clemens (Mich.),http://id.loc.gov/authorities/names/n80060314
Ripley (Mich.),http://id.loc.gov/authorities/names/n2007164587
Iosco County (Mich.)--Maps.,http://id.loc.gov/authorities/names/n81091931
Highland Park (Mich.)--Church history.,http://id.loc.gov/authorities/names/n83138904
Detroit (Mich.)--Economic conditions.,http://id.loc.gov/authorities/names/n79045539
Petoskey (Mich.)--Mills.,http://id.loc.gov/authorities/names/n85081677
Freemasons--Michigan.,http://id.loc.gov/authorities/names/n80149088
Orangeville (Mich.),http://id.loc.gov/authorities/names/n2003100205
Grand Rapids (Mich.)--Business enterprises.,http://id.loc.gov/authorities/names/n79133151
Ann Arbor (Mich.)--Dams.,http://id.loc.gov/authorities/names/n79022219
Detroit (Mich.)--Politics and government--21st century.,http://id.loc.gov/authorities/names/n79045539
Traverse City (Mich.)--Businesses.,http://id.loc.gov/authorities/names/n79006537
Sault Sainte Marie (Mich.),http://id.loc.gov/authorities/names/n81003784
Glenn (Mich.),http://id.loc.gov/authorities/names/no2015062904
Chase (Mich.),http://id.loc.gov/authorities/names/n85188938
Holly (Mich.),http://id.loc.gov/authorities/names/n92069775
Copper Harbor (Mich.),http://id.loc.gov/authorities/names/n98071544
Ludington (Mich.),http://id.loc.gov/authorities/names/n81056721
Presque Isle County (Mich.)--Ethnic relations.,http://id.loc.gov/authorities/names/n81091876
Tawas City (Mich.)--Commerce.,http://id.loc.gov/authorities/names/n85149706
Henrietta (Mich. : Township),http://id.loc.gov/authorities/names/no2010166492
Cedarville (Mich.),http://id.loc.gov/authorities/names/n2012078363
Ypsilanti (Mich.)--Politics and government--20th century.,http://id.loc.gov/authorities/names/n80006284
Mecosta County (Mich.),http://id.loc.gov/authorities/names/n81091871
Gogebic County (Mich.),http://id.loc.gov/authorities/names/n81091930
Milan (Mich.)--Social life and customs.,http://id.loc.gov/authorities/names/n82066430
University of Michigan--Sports.,http://id.loc.gov/authorities/names/n79021846
Patmos (Greece),http://id.loc.gov/authorities/names/n80046343
Spring Arbor (Mich.),http://id.loc.gov/authorities/names/n88292525
Mackinac Island (Mich.)--Businesses.,http://id.loc.gov/authorities/names/n81139923
Manton (Mich.),http://id.loc.gov/authorities/names/n85189405
Hurley (Wis.),http://id.loc.gov/authorities/names/n85207518
Ann Arbor (Mich.)--Political parades and rallies.,http://id.loc.gov/authorities/names/n79022219
Montcalm County (Mich.)--Churches.,http://id.loc.gov/authorities/names/n81091875
Montmorency County (Mich.),http://id.loc.gov/authorities/names/n81091880
Denver (Colo.),http://id.loc.gov/authorities/names/n79055157
Ludington (Mich.)--Commerce.,http://id.loc.gov/authorities/names/n81056721
Gratiot County (Mich.)--Maps.,http://id.loc.gov/authorities/names/n79129112
Sanilac County (Mich.)--Maps.,http://id.loc.gov/authorities/names/n81091872
Detroit (Mich.)--Church history.,http://id.loc.gov/authorities/names/n79045539
Wyoming (Mich.),http://id.loc.gov/authorities/names/n85149947
Grand Rapids (Mich.)--Race relations.,http://id.loc.gov/authorities/names/n79133151
Marine City (Mich.),http://id.loc.gov/authorities/names/n85081920
Birmingham (Mich.)--Church history.,http://id.loc.gov/authorities/names/n81104604
East Jordan (Mich.),http://id.loc.gov/authorities/names/n82060969
Shiawassee County (Mich.)--Maps.,http://id.loc.gov/authorities/names/n81091881
Sister Lakes (Mich.),http://id.loc.gov/authorities/names/n2003122111
Olivet (Mich.),http://id.loc.gov/authorities/names/n82097695
Trenton (Mich.),http://id.loc.gov/authorities/names/n81074440
Oceana County (Mich.),http://id.loc.gov/authorities/names/n81091879
Wurtsmith Air Force Base (Mich.),http://id.loc.gov/authorities/names/n83052262
Union City (Mich.),http://id.loc.gov/authorities/names/n81144379
Tuscola County (Mich.),http://id.loc.gov/authorities/names/n81091941
Swartz Creek (Mich.),http://id.loc.gov/authorities/names/n87846423
Oakland County (Mich.)--History.,http://id.loc.gov/authorities/names/n81091869
Cross Village (Mich.)--Lumber industry.,http://id.loc.gov/authorities/names/n83128558
South Lyon (Mich.)--Churches.,http://id.loc.gov/authorities/names/n82060978
Mackinaw City (Mich.)--Ice industry.,http://id.loc.gov/authorities/names/n88268193
Algonac (Mich.),http://id.loc.gov/authorities/names/n98032926
Detroit (Mich.)--Social life and customs--1921-1930.,http://id.loc.gov/authorities/names/n79045539
Pellston (Mich.),http://id.loc.gov/authorities/names/n2004007126
Luther (Mich.)--Streets.,http://id.loc.gov/authorities/names/n85188937
Onekama (Mich.),http://id.loc.gov/authorities/names/n82128524
Tuscola County (Mich.)--Maps.,http://id.loc.gov/authorities/names/n81091941
Ogemaw County (Mich.),http://id.loc.gov/authorities/names/n81074442
Petoskey (Mich.)--Harbors--1891-1900.,http://id.loc.gov/authorities/names/n85081677
Gwinn (Mich.)--Church history.,http://id.loc.gov/authorities/names/n97100388
Ann Arbor (Mich.)--Railroad bridges.,http://id.loc.gov/authorities/names/n79022219
Brighton (Mich.)--Dwellings.,http://id.loc.gov/authorities/names/n97092419
Lausanne (Switzerland),http://id.loc.gov/authorities/names/n79121361
Centreville (Mich.),http://id.loc.gov/authorities/names/n78047557
Northville (Mich.),http://id.loc.gov/authorities/names/n82066558
Saint Davids (Pa.),http://id.loc.gov/authorities/names/n88107231
Corunna (Mich.),http://id.loc.gov/authorities/names/n80106902
Albert Lea (Minn.),http://id.loc.gov/authorities/names/n81038738
Manistique (Mich.),http://id.loc.gov/authorities/names/n84012448
Benton Harbor (Mich.)--Economic conditions.,http://id.loc.gov/authorities/names/n81129560
